price,year,month,National Capital region,Region III,Region VI,Region VII,Region XI,Region XII,Autonomous region in Muslim Mindanao,Cordillera Administrative region,Region I,Region II,Region IV-A,Region IV-B,Region IX,Region V,Region VIII,Region X,Region XIII
19,2000,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2000,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.25,2000,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.75,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,2001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1,2001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16.55,2001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.3,2001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.85,2001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.75,2001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.4,2001,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2001,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6,2001,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.45,2001,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.15,2001,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.55,2001,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.4,2001,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2001,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9,2001,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,2001,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.95,2001,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.1,2001,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.5,2001,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.8,2001,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.55,2001,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.85,2001,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.05,2001,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.5,2001,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.6,2001,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.8,2001,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.5,2001,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2001,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.8,2001,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.3,2001,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.6,2001,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.2,2001,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.05,2001,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.55,2001,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2001,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.95,2001,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.85,2001,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.8,2001,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2001,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,2001,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1,2001,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1,2001,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2,2001,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,2001,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2001,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,2001,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2001,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.4,2001,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.25,2001,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2001,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.9,2001,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.35,2001,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.05,2001,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
